세대,이름(중문),한국어발음,TMDB_ID,생년월일,사망일,국적,출생지,학력,활동시기,주요수상,필모그래피수,대표작3편,전체필모그래피,TMDB설명,TMDB링크,,
5세대,?苗苗,류먀오먀오,1285283,1962-01-01,,중국,"Yinchuan, Ningxia, China",베이징영화학원 감독과 1982년졸,1980s-2000s,,10,?蹄?碎; ?花??; ?彩球的??,?彩球的??(2024); ??歌(2020); ?花??(2019); 蝶之?(2013); 家事(1996); 家丑(1994); ?嘴子(1993); 拳?手(1988); ?蹄?碎(1987); ?洋?事(1986),?苗苗，1962년 ?夏 ?川 출생. 1978년 16세에 북경영화학원 감독과 입학. 졸업 후 湘湘?影制片? 배속.,https://www.themoviedb.org/person/1285283,,
5세대,彭小?,펑샤오롄,1191357,1953-01-01,2019-06-19,중국,"Chaling County, Zhuzhou, Hunan, China",베이징영화학원,1980s-2000s,,12,女人的故事; 美?上海; 上海?巴,???住我(2017); 我?强的小船(2008); ?日?暴(2007); 上海?巴(2006); 美?上海(2004); 假??感?(2002); ?山??(2001); 上海?事(1998); 犬?(1996); 女人的故事(1989); 我和我的同??(1986),"彭小?，2019년 6월 19일 타계. 상하이 3부작(美?上海, 上海?巴, 上海?事)으로 유명.",https://www.themoviedb.org/person/1191357,,
5세대,何群,허췬,1326710,1955-12-07,2016-12-31,중국,"Nanjing, Jiangsu, China",베이징영화학원 미술과 1982년졸,1980s-2000s,,13,?凰琴; 混在北京; 失踪,失踪(2010); 因?有?(2001); 平原??(2001); 男孩女孩(1996); 混在北京(1995); ?凰琴(1994); 消失的女人(1993); 上一?(1992); 烈火金?(1991); 西行囚?(1989); ??(1988),何群(1955-2016). 1982년 북경영화학원 미술과 졸업. 감독 및 미술감독.,https://www.themoviedb.org/person/1326710,,
5세대,?建?,장젠야,118708,1954-01-01,,중국,"Putian, Fujian Province, China",베이징영화학원 감독과 1982년졸,1980s-2000s,"제6회 중국영화 동우상 우수감독상(삼모종군기, 1992)",15,三毛???; ?急迫降; ??森,??(2021); ??森(2012); ?情呼叫?移Ⅱ(2008); ?情呼叫?移(2007); ?地?救(2002); ?急迫降(2000); ?境逢生(1994); 三毛???(1992); ??忠魂(1991); ?河死亡?(1986); ?象(1982),?建?，1975-1978년 상해영화 배우극단 배우. 이후 북경영화학원 감독과. 1982년 졸업 후 上海?影制片? 감독.,https://www.themoviedb.org/person/118708,,
5세대,?周,쑨저우,65278,1954-08-01,,중국,"Shandong, China",베이징영화학원,1980s-2000s,"금계상 최우수촬영상 후보(커피에 설탕을, 1987)",11,心香; 漂亮??; 周?的火?,深?(2021); 人?·喜?(2019); 不可思?(2015); 我愿意(2012); 秋喜(2009); 周?的火?(2002); 漂亮??(2000); 心香(1992); 滴血?昏(1989); ???加点糖(1987),?周，1954년 山? ?南 출생. 북경영화학원 졸업. 1977년 山????影社 촬영기사로 시작.,https://www.themoviedb.org/person/65278,,
5세대,?瀛,닝잉,583876,1959-01-01,,중국,"Beijing, China",베이징영화학원 / 이탈리아 영화실험학교,1980s-2000s,"베를린 은곰상 후보(민경이야기, 1995)",14,??; 民警故事; 无??,浪漫天降(2015); 警察日?(2013); 功夫?(2012); 无??(2005); 夏日暖洋洋(2001); 民警故事(1995); ??(1993),?瀛，북경영화학원 및 이탈리아 영화실험학교 수학. 베르톨루치의 《마지막 황제》에서 부감독 역임. '북경 3부작'(??/民警故事/夏日暖洋洋)으로 국제적 명성.,https://www.themoviedb.org/person/583876,,
5세대,何平,허핑,77305,1957-01-01,2023-12-27,중국,"Shanxi Province, China",베이징영화학원,1980s-2000s,,8,?旗?刀客; ?打??; 天地英雄,回到被?的每一天(2015); ?田(2009); 天地英雄(2003); 日光?谷(1995); ?打??(1994); ?旗?刀客(1991); 川?芳子(1989); 我?是世界(1988),何平，1957년 山西 출생. 2023년 12월 27일 타계. 西安?影制片? 감독. 《?旗?刀客》은 중국 웨스턴 장르의 걸작으로 평가.,https://www.themoviedb.org/person/77305,,
6세대,?樟柯,지아장커,24011,#######,,중국,Fenyang； Shanxi； China,베이징영화학院 문학과,1990s-2010s,베니스 황금사자상(삼협호인； 2006)； 칸 각본상(천주정； 2013),48,都?之影； ?科?Dance； ?流一代,都?之影(2026); ?科?Dance(2026); ?流一代(2025); ?收(2024); 走出?林(2023); 孔雀，孔雀(2022); 特?(2021); 一直游到海水??(2021); ??(2020); 江湖?女(2018); ??去??了(2017); 逢春(2017); ?生(2016); 美好合一2016(2016); 山河故人(2015); 人在?途(2015); 我?的?代：十年勇?(2015); 老潘的??夜(2014); 天注定(2013); 威尼斯70周年：重?未?(2013); 3.11 家庭?影的感?(2011); 3.11 A Sense of Home: Jia Zhang-ke(2011); ?路(2011); 曹斐(2011); 潘石屹(2011); 海上?奇(2010); 十年(2008); Stories on Human Rights(2008); 黑色早餐(2008); 二十四城?(2008); 河上的?情(2008); 无用(2008); 我?的十年(2007); ?(2006); 三?好人(2006); ?一刻(2005); 世界(2004); 任逍?(2002); 站台(2001); 公共?所(2001); 狗的??(2001); 小武(1997); ??(1996); 小山回家(1995); 有一天，在北京(1994); In the Qing Dynasty(); 在那里(); Mamma Dunhuang(),?樟柯，中?著名?影?演。1993年就?于北京?影?院文?系，?1995年起?始?影??工作，?居北京。1997年??于北京?影?院文?系，在大?期?，他?摩了上百部的?影，同?，??了日后在他的??生涯中?重要的???伴。 ?樟柯本???有所造?的他，一次偶然的机??看了?影《?土地》之后，便激?了?心??影的??。他1991年?始考北京?影?院，但失?了?次，直到1993年才如愿以?考上北京,https://www.themoviedb.org/person/24011,,
6세대,?元,장위안,4145688,#######,,중국,Yingkou； Liaoning province； China,베이징영화학원 촬영과,1990s-2010s,,,,,?嘉元，2003年1月8日出生于??省?口市，中??地男歌手、吉他手 ，古典流行???河系??吉他手。,https://www.themoviedb.org/person/4145688,,
6세대,??,러우예,71056,#######,,중국,Shanghai； China,베이징영화학원 감독과,1990s-2010s,칸 감독주간,20,重塑雕像的?利“喝彩之后”南京演唱?； 一部未完成的?影； ?心大?院,重塑雕像的?利“喝彩之后”南京演唱?(2025); 一部未完成的?影(2024); ?心大?院(2021); ?中有?雨做的云(2019); 推拿(2014); 浮城?事(2012); 花(2011); 42分一幻?(2010); 春??醉的夜?(2009); ?和?(2006); 紫蝴蝶(2003); 在上海(2001); ?州河(2000); 周末情人(1995); 危情少女(1994); 耳机(1989); 无照行?(1987); 控制(1987); 三?字(); ?和?(),??，中?著名?演，第六代?演??人物。1989年??于北京?影?院?演系。代表作品有《春??醉的夜?》、《紫蝴蝶》等。 1990年，?着??步出校?的??，??集合了一班朋友，?始了他的第一部?影《周末情人》的拍?。?一?期，他的?多同?拍?了一系列以??生活??材的影片。??也成了?一集?行?中的一?。???得中??影史上在90年代初注定要出?一批?立?影制作人。?管?立制作要花??,https://www.themoviedb.org/person/71056,,
6세대,王小?,왕샤오솨이,1016305,#######,,중국,Shanghai； China,베이징영화학院 감독과,1990s-2010s,,25,沃土； 旅?； 地久天?,沃土(2025); 旅?(2022); 地久天?(2019); 我的??(2018); The Cornfield(2015); ?入者(2015); 坐?(2012); 停留(2012); ?方(2012); 我十一(2012); 日照重?(2010); 左右(2008); 左右(2007); Jeonjaeng geu ihu(2006); ??(2005); ?一刻(2005); 二弟(2003); New Year(2002); 十七?的??(2001); ?幻田?(1999); 扁?·姑娘(1998); ?度寒冷(1996); 冬春的日子(1994); 基本??(1987); Child's Play(),中?第六代?演的??人物，?立?影先??演。 生于1966年。自北京?影?院??后，27?的王小?自?自?了他的首部?片《冬春的日子》（1993年），?片成?中??立?影?篇作之一，?于次年被???代??博物?收藏。 此后，王小??借其强烈的?人色彩?人文??、?持不懈的?立?作精神，成?中?“第六代”?演中享???的??式人物。2001年，他?借《十七?的??》??柏林???影??委?,https://www.themoviedb.org/person/1016305,,
6세대,管虎,관후,131301,#######,,중국,Beijing； China,베이징영화학원 감독과,1990s-2010s,,18,一?男人和一?女人； ???； 狗?,一?男人和一?女人(2026); ???(2025); 狗?(2024); 金?川(2020); 八佰(2020); 我和我的祖?(2019); 奔?(2016); 老??(2015); ?子?子?子(2013); ?生(2012); 斗牛(2009); ??了我的幸福(2009); 西施眼(2002); 上?，走?(2000); 再?，我?的1948(1999); 夜行人(1998); 浪漫街?(1996); ???了(1994),管虎，?演。1968年出生于北京市，祖籍山?省?沂市平邑?仲村。1991年??于北京?影?院?演系。,https://www.themoviedb.org/person/131301,,
6세대,王全安,왕취안안,27073,#######,,중국,Yan'an； Shaanxi； China,베이징영화학원,1990s-2010s,베를린 금곰상(투야의 결혼； 2007),7,恐?蛋； 白鹿原； ??,恐?蛋(2019); 白鹿原(2012); ??(2010); ??姑娘(2009); ?雅的婚事(2006); ??(2004); 月?(1999),,https://www.themoviedb.org/person/27073,,
6세대,王超,왕차오,1081774,#######,,중국,Nanjing； Jiangsu Province； China,난징대학 / 베이징영화학院,1990s-2010s,,8,孔秀； ????； 父子情,孔秀(2022); ????(2018); 父子情(2017); 幻想曲(2015); 重?(2009); 江城夏日(2006); 日日夜夜(2005); 安???(2001),王超，1964年1月21日出生于南京，??于北京?影?院。 2001年，???人第一部?影《安???》，?而??了他的?演生涯，?片入?第54??????影?“?演?周”?元，??得第37?美?芝加哥影展??影?人?。2003年，??的?情片《日日夜夜》?得第26?法?南特三大洲???影?最佳影片?，而他也因此?借?片?得第26?法?南特三大洲?影?最佳?演?。2006年，??的家庭片《江城夏日,https://www.themoviedb.org/person/1081774,,
6세대,何建?,허젠쥔,1082361,#######,,중국,Beijing - China,베이징영화학院,1990s-2010s,,9,云上法官； 水上人家； 藏龍,云上法官(2024); 水上人家(2008); 藏龍(2007); 蔓延(2004); 蝴蝶的微笑(2001); ?景(1999); ?差(1995); ??(1994); 自?像(1991),何建?和?多同?代的?影人一?，是在中??尖的?影?府北京?影?院?始他的?影生涯的。1990年??后，他?任了??歌的?影《孩子王》（1987年）的??，之后他的?女作《??》于1993年上映，在西方?得了强烈好?。《??》?拍?了12天，取材于何建?一位同?的精神病?作??。 ?然《??》在1993年的鹿特丹???影?上?得了??影?人???，但?部?影也引起了中???机?的?怒，他?在19,https://www.themoviedb.org/person/1082361,,
6세대,路??,루쉐창,138731,#######,#######,중국,Beijing； China,베이징영화학원 감독과,1990s-2010s,,5,??人的房?； 租期； ?拉是?狗,??人的房?(2008); 租期(2006); ?拉是?狗(2003); 非常夏日(1999); ?大成人(1997),路??（1964年6月25日－2014年2月20日），出生于北京市，中??地?影?演、??，??于北京?影?院?演系。 1995年，自?自??女作《?大成人》，?而???演生涯，?片?得第3?釜山???影?新浪潮?提名。1999年，自?自??疑?情片《非常夏日》，?片入??多??性影展??得多???，路???借?片?第9?中??影金??最佳?演特??、第7?北京大?生?影?最佳?演?。 200,https://www.themoviedb.org/person/138731,,
6세대,胡雪?,후쉐양,1901968,,,중국,,베이징영화학원,1990s-2010s,,13,交?； 朴金玉； 可?的中?,交?(2022); 朴金玉(2022); 可?的中?(2009); 上海一九七六(2008); 山??(2004); ?情是?色的(2001); ??火(1999); 罪?(1996); ?牛花(1995); 湮?的?春(1994); 留守女士(1993); 童年往事(1989); 武?2020?手机日?(),,https://www.themoviedb.org/person/1901968,,
포스트6세대,?浩,닝하오,17295,#######,,중국,Taiyuan； Shanxi Province； China,베이징사범대학 예술과,2000s-현재,香港영화제 신인감독상,15,爆款好人； ??先生； 我和我的家?,爆款好人(2024); ??先生(2024); 我和我的家?(2020); 巴依?的春?(2020); 我和我的祖?(2019); ?狂的外星人(2019); 心花路放(2014); 无人?(2013); ?金大劫案(2012); ?狂的??(2009); ?狂的石?(2006); ?草地(2005); 香火(2003); 星期四，星期 三(2001); 打虎！(),?浩，中??影?演、??。曾做?自行??配工，音?人，舞台美???，?告??，平面?影?，?像?。后就?太原???，其后考入北京?范大???系，???演。2003年6月??于北京?影?院?片?影??。 ?浩的?生?影《星期四，星期三》(2001)?得了?年北京大?生?影?最佳?演?和中?大?生?影??媒?????。?浩的首部?影?女作《香火》(2003)在瑞士??洛?行了首映，??得?京,https://www.themoviedb.org/person/17295,,
포스트6세대,?川,루촨,79153,#######,,중국,Kuitun； Xinjiang； China,베이징영화학院 감독과,2000s-현재,,10,749局； 杭州第19?????幕式； 北京2022,749局(2024); 杭州第19?????幕式(2023); 北京2022(2023); ?征(2022); 我??生在中?(2016); 九?妖塔(2015); 王的盛宴(2012); 南京！南京！(2009); 可可西里(2004); ??(2002),?川，1971年2月8日出生于新疆奎屯市，江?南通人，中??演、??、制片人，猿?力泛?集?董事?，先后??于南京解放????系?院、北京?影?院?演系。2022年北京冬季?林匹克???官方?影《北京2022》??演，2023年杭州????幕式??演。1999年，他??的30集?????《黑洞》引起?注。2002年，他??、?演的?影?女作《??》在中?影??露?角，?入?第59?威尼斯?影???,https://www.themoviedb.org/person/79153,,
포스트6세대,??善,우얼산,232685,#######,,중국,Hohhot； Inner Mongolia,베이징영화학院 감독과,2000s-현재,,13,封神第二部：?火西岐； ?人之下； 封神第一部：朝歌?云,封神第二部：?火西岐(2025); ?人之下(2024); 封神第一部：朝歌?云(2023); ???(2015); ?皮2(2012); 刀?笑(2011); 肥??(2004); ?火(2002); ?化爵士(1999); 今?我?相?(1997); ?接(1997); ?和下西洋1：?海幽冥(); 封神第三部：封神天下(),??善，1972年6月10日出生于?蒙古呼和浩特，中??地?演。先后就?中央美??院油?系和北京?影?院?演系。2000年?建?人工作室“523studio”。 2004年??善?借??的?立?影《肥??》???釜山???影???影?人?。2011年?借??先?武?喜??影《刀?笑》?第48?台??影金??最佳新?演。2012年??的?方魔幻?情?影《?皮II》票房超?七?人民? ，??得第2,https://www.themoviedb.org/person/232685,,
포스트6세대,??,장양,3002167,,,중국,,베이징영화학院 감독과,2000s-현재,,,,,??，女，中??媒大?2007???生 。??新?社?者，中?新??一等???者。 ??有着十余年?政、科技、文化等?域?道??，多次??全????道，曾??中?航天??利?、王?平，中??人航天工程????周建平 [77]，北京人?院???征 ，中?工程院院士?伯? 、?薇，俄?斯??大使杰尼索夫，中?女足主??水?霞，?影?演郭帆， 故?陶瓷?家?成?，“童?大王”??? 等人。 2020,https://www.themoviedb.org/person/3002167,,
포스트6세대,伍仕?,우스셴,143600,#######,,중국,Taiwan； China,베이징영화학院,2000s-현재,,5,反?人生； 形影不?； 非常金?任?,反?人生(2017); 形影不?(2012); 非常金?任?(2007); ?自等待(2005); ?四十四(2001),伍仕?出生于中?台?，?小?父母生活在中?、美?、澳大利?、和加拿大。曾就?于美??盛?大??影??系、大三??到北京?影?院?演系。??后，伍仕?拍了?多?地和??的???告?MV。他2001年自?自?的?影?情短片《?四十四》?得了威尼斯???影??委?特??、 美??丹斯?影??委?特??、和??及八????影?的??和提名，成?第一部在重量????影???的中??影短片。 伍仕?的第一部,https://www.themoviedb.org/person/143600,,
포스트6세대,?浩,류하오,2682877,#######,,중국,Changchun；Jilin Province；China,베이징영화학院,2000s-현재,,,,,?浩存，中?女演?，??于北京舞蹈?院中?民族民?舞系。,https://www.themoviedb.org/person/2682877,,
포스트6세대,???,텅화타오,564818,#######,,중국,Beijing，China,베이징영화학院,2000s-현재,,7,上海堡?； 奔?； 等??,上海堡?(2019); 奔?(2016); 等??(2013); 失?33天(2011); 心中有鬼(2007); 情?一?(2003); 100?(2001),???，又名???，?演、??、制片人，中?第六代?演之一。??于北京?影?院文?系，1995年首次?????《新言情?代》，1997年??警匪?材?《危情?刻》，2001年???影?女作《一百?……》，2007年???情?悚?影《心中有鬼》，2009年??的都市生活情感?《?居》引?了大?的?注，6月12日?借??的???《王??安娜》?得第15?上海???最佳?演?。2011年9月自?自?的家,https://www.themoviedb.org/person/564818,,
